3,77.866667
6,57.777778
9,46.777778
12,13.400000
15,17.822222
18,17.800000
21,17.844444
24,11.155556
27,26.688889
30,48.977778
33,2.311111
36,22.266667
39,17.800000
42,24.488889
45,20.022222
48,4.555556
51,15.600000
54,0.155556
57,6.688889
60,4.555556
63,2.266667
66,15.622222
69,0.022222
72,6.777778
75,6.777778
78,13.377778
81,2.355556
84,4.488889
87,6.711111
90,8.933333
93,11.177778
96,6.733333
99,17.866667
102,4.511111
105,4.488889
108,6.666667
111,4.533333
114,6.733333
117,2.244444
120,2.311111
123,8.911111
126,13.422222
129,0.155556
132,17.933333
135,0.044444
138,6.733333
141,4.488889
144,4.600000
147,4.466667
150,4.466667
153,13.400000
156,0.000000
159,0.066667
162,13.377778
165,2.266667
168,6.666667
171,9.000000
174,6.733333
177,8.933333
180,0.088889
183,4.511111
186,4.488889
189,15.555556
192,2.244444
195,8.955556
198,4.511111
201,15.711111
204,17.800000
207,4.555556
210,8.955556
213,0.022222
216,8.911111
219,0.111111
222,4.533333
225,0.022222
228,0.022222
231,11.200000
234,24.622222
237,8.955556
240,8.933333
243,6.733333
246,4.466667
249,15.622222
252,2.266667
255,2.333333
258,13.377778
261,4.511111
264,11.133333
267,4.444444
270,6.711111
273,4.555556
276,2.311111
279,6.666667
282,6.733333
285,2.288889
288,2.266667
291,4.533333
294,4.533333
297,4.488889
300,4.555556
